player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,lengthHand,widthHand,body_fat_pct,drafted
Nolan Smith,2011.0,2011,21.0,PG,1.87,85.09,1.97,251.46,72.39,86.36,9.0,11.05,3.17,21.59,23.5,5.6,True
Bradley Beal,2012.0,2012,3.0,SG,1.91,91.53,2.03,254.0,83.82,99.06,8.0,10.95,3.28,21.59,22.86,6.0,True
Speedy Claxton,2000.0,2000,20.0,PG,1.79,75.3,1.83,240.03,91.44,107.95,6.0,10.48,3.06,,,,True
Chandler Parsons,2011.0,2011,38.0,SF,2.05,100.33,2.07,265.43,64.77,80.01,4.0,11.05,3.29,20.96,25.4,7.0,True
Mike Taylor,2008.0,2008,55.0,SG-PG,1.85,75.39,2.01,248.92,78.74,99.06,2.0,10.98,3.08,,,3.8,True
Rudy Fernandez,2007.0,2005,24.0,SG,1.95,78.02,2.02,257.81,67.31,90.17,0.0,10.48,3.33,,,,True
Torin Francis,,2006,,PF-C,2.06,112.04,2.16,267.97,67.31,81.28,9.0,11.97,3.51,,,12.4,False
Russell Robinson,,2008,,PG,1.84,88.9,2.03,255.27,63.5,80.01,8.0,11.3,3.15,,,7.4,False
Evan Turner,2010.0,2010,2.0,SG,1.97,96.98,2.03,262.89,69.85,87.63,9.0,11.06,3.27,22.22,24.13,8.6,True
Ron Slay,,2003,,SF-PF,1.98,107.05,2.08,262.89,72.39,80.01,10.0,12.01,3.43,,,16.3,False
Gerald Green,2005.0,2005,18.0,SF,1.98,87.09,2.08,264.16,80.01,99.06,7.0,11.2,3.21,,,,True
Randy Holcomb,2002.0,2002,56.0,SF-PF,2.01,102.06,2.16,266.7,74.93,90.17,15.0,12.85,3.22,,,,True
DeAndre Daniels,2014.0,2014,37.0,SF,2.01,88.9,2.18,270.51,67.31,81.28,,11.46,3.44,23.5,26.67,3.85,True
Russ Smith,2014.0,2014,47.0,PG,1.82,72.57,1.92,241.3,74.93,86.36,,11.57,3.27,20.96,21.59,3.5,True
Isaiah Thomas,2011.0,2011,60.0,PG,1.75,84.37,1.87,232.41,80.01,101.6,13.0,10.49,3.14,20.96,22.86,6.7,True
Marcus Thornton,2015.0,2015,45.0,PG-SG,1.87,80.47,2.03,247.65,87.63,109.22,3.0,10.78,3.02,20.96,21.59,5.3,True
Chris Bosh,2003.0,2003,4.0,PF,2.09,102.06,2.22,276.86,77.47,83.82,9.0,11.8,3.3,,,8.0,True
Adam Allenspach,,2001,,C,2.12,117.48,2.15,271.78,72.39,78.74,16.0,11.9,3.4,,,12.4,False
Marquis Teague,2012.0,2012,29.0,PG,1.85,81.56,2.01,245.11,82.55,102.87,8.0,10.65,3.19,20.96,19.68,6.3,True
Otto Porter,2013.0,2013,3.0,SF,2.02,89.63,2.17,267.97,68.58,91.44,9.0,11.25,3.4,22.22,23.5,6.65,True
Shelvin Mack,2011.0,2011,34.0,PG,1.85,94.8,2.02,245.11,81.28,99.06,17.0,11.23,3.18,20.96,23.5,7.1,True
Eric Paschall,2019.0,2019,41.0,SF,1.98,115.39,2.23,262.89,83.82,96.52,18.0,11.63,3.3,22.86,24.13,6.3,True
Carsen Edwards,2019.0,2018,33.0,PG,1.8,88.72,1.99,240.03,72.39,87.63,12.0,11.59,3.2,21.59,23.5,6.3,True
Maarty Leunen,,2008,,SF,2.01,100.7,2.03,260.35,74.93,87.63,14.0,11.57,3.36,,,8.9,False
Souleymane Wane,,2001,,C,2.04,106.59,2.26,276.86,73.66,77.47,9.0,12.02,3.46,,,11.2,False
Jarvis Varnado,,2010,,PF-C,2.04,95.35,2.22,278.13,74.93,82.55,3.0,11.61,3.37,23.5,24.13,9.5,False
Charlie Bell,,2001,,PG,1.89,90.72,2.02,247.65,80.01,96.52,15.0,10.59,3.12,,,6.7,False
Sagaba Konate,,2018,,C,1.99,111.58,2.13,270.51,80.01,88.9,12.0,12.28,3.28,23.5,25.4,7.35,False
Ryan Humphrey,2002.0,2002,19.0,PF-SF,1.98,101.15,2.13,265.43,80.01,95.25,13.0,11.75,3.2,,,,True
Nick Johnson,2014.0,2014,42.0,SG,1.87,89.81,2.01,245.11,85.09,105.41,,10.8,3.27,22.22,24.76,6.05,True
Harrison Barnes,2012.0,2012,7.0,SF-SG,2.01,103.33,2.11,257.81,96.52,100.33,15.0,10.93,3.16,22.86,21.59,9.6,True
Jae Crowder,2012.0,2012,34.0,SF,1.95,109.41,2.06,252.73,78.74,87.63,20.0,11.45,3.37,24.13,26.67,9.0,True
Eric Gordon,2008.0,2008,7.0,SG,1.88,100.7,2.06,251.46,81.28,101.6,15.0,10.81,3.01,,,8.2,True
Donte DiVincenzo,2018.0,2018,17.0,SG,1.92,90.99,1.98,247.65,87.63,106.68,12.0,10.72,3.11,20.96,22.86,5.0,True
Ryan Carroll,,2001,,SF-SG,1.93,91.63,2.04,251.46,87.63,99.06,14.0,11.0,3.1,,,8.0,False
Louis King,,2019,,SF,2.0,88.54,2.14,265.43,73.66,83.82,0.0,10.99,3.28,20.32,21.59,4.8,False
Jordan Crawford,2010.0,2010,27.0,SG,1.9,89.99,2.01,256.54,80.01,87.63,7.0,11.03,3.37,20.32,22.86,4.9,True
Nik Stauskas,2014.0,2014,8.0,SG,1.96,93.85,2.03,259.08,73.66,90.17,,10.79,3.27,21.59,21.59,12.05,True
Jordan Poole,2019.0,2019,28.0,SG,1.92,86.55,2.0,252.73,71.12,90.17,,10.59,3.27,20.96,21.59,7.5,True
Miles Plumlee,2012.0,2012,26.0,PF-C,2.1,114.49,2.15,267.97,86.36,102.87,15.0,10.64,3.36,23.5,22.86,11.4,True
Demetris Nichols,2007.0,2007,53.0,SF,1.98,95.71,2.14,266.7,72.39,82.55,16.0,10.39,3.38,,,6.2,True
P.J. Hairston,2014.0,2014,26.0,SG,1.94,103.78,2.06,256.54,81.28,93.98,,11.12,3.32,22.22,24.76,8.2,True
Paul Millsap,2006.0,2006,47.0,PF,1.99,117.03,2.17,267.97,72.39,82.55,15.0,11.67,3.3,,,9.7,True
Sam Dekker,2015.0,2015,18.0,SF,2.03,99.16,2.12,269.24,64.77,87.63,5.0,10.64,3.28,21.59,23.5,7.5,True
Dedric Lawson,,2019,,PF,2.01,105.69,2.19,273.05,59.69,66.04,10.0,11.8,3.6,24.76,24.76,8.9,False
Dakari Johnson,2015.0,2015,48.0,C,2.11,120.02,2.18,284.48,57.15,63.5,4.0,11.76,3.62,23.5,26.67,14.9,True
Channing Frye,2005.0,2005,8.0,PF-C,2.07,110.5,2.2,280.67,69.85,78.74,19.0,11.6,3.38,,,,True
Gani Lawal,2010.0,2010,46.0,PF,2.02,105.87,2.13,273.05,68.58,80.01,20.0,11.61,3.24,21.59,25.4,6.3,True
Kenneth Faried,2011.0,2011,22.0,PF,1.98,101.88,2.13,274.32,77.47,88.9,16.0,11.35,3.26,21.59,26.04,6.3,True
Harry Giles,2017.0,2017,20.0,PF,2.06,105.23,2.22,278.13,68.58,82.55,5.0,11.08,3.34,24.13,27.3,5.2,True
Joah Tucker,,2006,,SF-SG,1.92,101.6,1.99,252.73,73.66,86.36,19.0,11.58,3.31,,,7.0,False
Cole Aldrich,2010.0,2010,11.0,C,2.06,107.05,2.25,283.21,58.42,71.12,10.0,11.48,3.35,22.86,23.5,8.5,True
Stephane Pelle,,2003,,PF-SF,2.01,111.58,2.18,271.78,72.39,83.82,17.0,11.37,3.27,,,12.4,False
Coby Karl,,2007,,SG-PG,1.9,92.53,2.11,252.73,81.28,87.63,9.0,11.57,3.41,,,5.4,False
Devin Ebanks,2010.0,2010,43.0,SF,2.01,94.26,2.14,273.05,59.69,81.28,6.0,11.69,3.44,20.96,22.86,7.9,True
Luke Harangody,2010.0,2010,52.0,PF,1.98,108.95,2.07,269.24,60.96,72.39,23.0,11.83,3.41,22.22,24.76,11.1,True
Rashad Jones-Jennings,,2007,,PF,1.98,106.59,2.13,267.97,63.5,76.2,20.0,12.18,3.29,,,5.9,False
Sherron Collins,,2010,,PG,1.78,98.52,1.89,238.76,69.85,83.82,,12.31,3.24,21.59,24.13,9.2,False
